Gemeinde,2020-11-01T09:53:55.000Z,2020-11-02T05:51:10.000Z,2020-11-02T14:58:48.000Z,2020-11-03T05:54:06.000Z,2020-11-03T14:50:35.000Z,2020-11-04T04:53:25.000Z,2020-11-04T14:09:45.000Z,2020-11-05T05:09:49.000Z,2020-11-05T07:09:49.000Z,2020-11-05T15:55:55.000Z,2020-11-06T06:52:43.000Z,2020-11-06T11:01:26.000Z,2020-11-06T13:01:26.000Z,2020-11-07T06:52:05.000Z,2020-11-07T11:35:11.000Z
Flachgau,976,1083,1081,1102,1114,1230,1206,1320,1320,1311,1449,1448,1448,1452,1511
Anif,27,32,32,30,34,36,36,39,39,39,40,40,40,40,40
Anthering,19,23,23,24,24,29,29,32,32,32,37,37,37,37,39
Bergheim,30,33,33,37,37,44,44,48,48,48,53,54,54,55,55
Berndorf bei Salzburg,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Bürmoos,15,16,16,16,16,17,17,24,24,24,28,27,27,26,27
Dorfbeuern,0,0,0,-1,0,2,2,3,3,3,4,5,5,6,6
Ebenau,8,10,10,9,9,10,10,10,10,10,9,9,9,9,11
Elixhausen,16,16,16,17,17,18,18,22,22,22,22,22,22,23,25
Elsbethen,30,33,33,36,36,36,36,41,41,41,43,43,43,45,46
Eugendorf,49,54,54,56,56,59,54,58,58,58,59,59,59,62,67
Faistenau,27,31,30,30,30,35,32,37,37,35,36,36,36,35,35
Fuschl am See,26,28,28,28,28,31,31,30,30,30,35,35,35,36,36
Göming,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2
Grödig,23,31,31,33,33,42,42,45,45,45,55,54,54,55,58
Großgmain,10,11,11,12,12,12,12,12,12,12,14,14,14,14,16
Hallwang,14,15,15,17,17,18,19,22,22,21,28,27,27,27,27
Henndorf am Wallersee,36,42,42,41,41,42,42,48,48,47,51,51,51,51,53
Hintersee,9,10,10,9,9,9,9,9,9,9,11,11,11,10,10
Hof bei Salzburg,37,36,37,40,40,41,40,41,41,41,50,50,50,50,52
Köstendorf,42,44,44,46,46,50,49,52,52,52,53,53,53,53,53
Koppl,54,57,57,57,58,63,61,60,60,60,65,63,63,63,67
Lamprechtshausen,10,16,16,18,18,21,20,22,22,22,28,28,28,28,29
Mattsee,14,14,13,13,13,14,13,15,15,15,19,18,18,18,19
Neumarkt am Wallersee,27,31,31,30,30,37,37,41,41,38,40,44,44,44,47
Nußdorf am Haunsberg,4,4,4,5,5,7,7,8,8,8,9,9,9,8,8
Oberndorf bei Salzburg,25,36,36,34,34,36,36,43,43,43,52,52,52,50,52
Obertrum am See,28,34,33,35,36,38,36,34,34,33,38,39,39,39,41
Plainfeld,9,10,10,11,11,12,12,11,11,11,14,14,14,14,14
Sankt Georgen bei Salzburg,22,24,24,25,25,31,31,35,35,35,36,36,36,36,38
Sankt Gilgen,40,40,40,38,38,42,41,42,42,42,46,46,46,46,47
Schleedorf,4,4,4,4,4,8,8,12,12,12,12,12,12,12,13
Seeham,4,7,7,9,9,10,10,12,12,12,16,16,16,16,18
Straßwalchen,63,65,64,62,62,71,69,78,78,79,83,82,82,82,84
Strobl,48,52,52,51,51,53,53,59,59,58,58,57,57,57,59
Thalgau,49,49,49,44,49,54,53,56,56,56,65,66,66,66,73
Wals-Siezenheim,79,90,89,93,93,103,101,115,115,115,134,134,134,131,135
Seekirchen am Wallersee,46,50,50,53,53,59,57,65,65,65,68,68,68,68,70
Flachgau - Nicht zugeordnet,28,29,30,32,32,33,32,32,32,31,31,30,30,33,34
Pongau,599,643,644,632,643,657,619,725,725,717,833,836,836,769,861
Altenmarkt im Pongau,18,19,19,13,19,23,23,33,33,33,42,42,42,40,40
Bad Hofgastein,47,42,42,43,43,43,40,45,45,45,49,49,49,40,47
Bad Gastein,29,29,29,26,26,28,26,28,28,27,28,27,27,22,22
Bischofshofen,103,108,110,110,111,110,109,129,129,127,145,145,145,143,178
Dorfgastein,9,9,9,9,9,7,7,10,10,10,11,11,11,9,9
Eben im Pongau,6,6,6,5,6,9,9,10,10,10,13,16,16,17,19
Filzmoos,6,6,6,6,7,12,12,13,13,13,21,21,21,20,22
Flachau,14,11,11,11,12,12,12,14,14,14,17,16,16,16,17
Forstau,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1
Goldegg,16,18,18,17,18,14,14,18,18,18,20,20,20,19,20
Großarl,42,51,51,43,43,40,32,35,35,35,37,36,36,30,30
Hüttau,7,7,7,6,6,5,5,5,5,5,5,5,5,3,5
Hüttschlag,4,4,4,2,1,2,1,2,2,2,2,2,2,2,2
Kleinarl,5,12,12,10,11,11,11,11,11,11,13,14,14,12,12
Mühlbach am Hochkönig,6,7,7,8,8,8,8,10,10,10,13,13,13,13,16
Pfarrwerfen,20,21,21,21,21,21,20,21,21,20,21,21,21,20,27
Radstadt,19,18,18,22,22,20,18,23,23,22,27,27,27,22,26
Sankt Johann im Pongau,119,123,123,130,127,132,119,138,138,137,166,164,164,148,159
Sankt Martin im Tennengebirge,10,10,10,8,8,10,8,8,8,8,9,9,9,9,10
Sankt Veit im Pongau,21,21,22,22,25,21,21,22,22,21,26,26,26,24,24
Schwarzach im Pongau,23,30,30,35,34,42,40,54,54,54,56,58,58,56,60
Untertauern,1,1,1,0,1,1,1,1,1,1,6,6,6,6,6
Wagrain,26,33,33,31,31,30,30,34,34,34,34,35,35,34,39
Werfen,25,30,30,29,29,29,27,30,30,30,40,40,40,37,40
Werfenweng,0,1,1,2,2,3,3,3,3,3,4,4,4,3,6
Pongau - Nicht zugeordnet,20,23,21,23,23,23,22,27,27,26,27,28,28,23,24
Tennengau,398,429,413,409,412,423,399,490,490,489,503,509,509,468,496
Abtenau,50,61,61,64,64,67,59,77,77,77,81,81,81,70,72
Adnet,28,29,27,23,24,21,21,26,26,26,23,23,23,18,18
Annaberg-Lungötz,4,2,2,2,2,2,2,3,3,3,4,4,4,3,4
Golling an der Salzach,18,15,14,13,13,16,13,22,22,22,24,24,24,23,26
Hallein,120,123,115,117,118,122,114,150,150,150,156,158,158,150,162
Krispl,12,14,14,12,12,12,12,15,15,15,15,15,15,14,14
Kuchl,77,90,87,84,84,86,84,89,89,88,88,88,88,81,83
Oberalm,24,23,23,20,20,19,18,20,20,20,19,20,20,18,18
Puch bei Hallein,27,31,28,29,29,31,30,33,33,33,34,36,36,34,35
Rußbach am Pass Gschütt,2,2,2,2,2,2,2,3,3,3,5,5,5,5,6
Sankt Koloman,10,12,12,13,13,14,13,18,18,18,17,17,17,16,19
Scheffau am Tennengebirge,5,6,5,6,6,7,7,8,8,8,7,8,8,7,8
Bad Vigaun,14,14,14,15,15,14,14,16,16,16,19,19,19,19,21
Tennengau - Nicht zugeordnet,7,7,9,9,10,10,10,10,10,10,11,11,11,10,10
Salzburg Stadt,573,635,634,618,620,696,696,723,723,724,890,898,898,876,928
Stadt Salzburg - Nicht zugeordnet,35,42,42,36,36,41,41,48,48,48,57,57,57,56,59
Lungau,84,97,97,99,99,105,97,101,101,99,146,145,145,142,156
Göriach,0,0,0,1,1,2,2,2,2,2,4,4,4,4,4
Lessach,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Mariapfarr,5,7,7,6,6,6,6,8,8,8,10,9,9,9,13
Mauterndorf,3,3,3,3,3,4,4,8,8,8,13,13,13,12,12
Muhr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramingstein,5,4,4,5,5,6,6,5,5,5,8,8,8,8,9
Sankt Andrä im Lungau,5,5,5,4,4,2,1,1,1,1,3,3,3,3,3
Sankt Margarethen im Lungau,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2
Sankt Michael im Lungau,17,15,15,13,14,16,15,14,14,14,20,20,20,22,27
Tamsweg,25,32,32,32,31,32,31,30,30,29,45,45,45,42,44
Thomatal,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2
Tweng,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Unternberg,1,2,2,6,6,6,6,7,7,7,8,8,8,7,7
Weißpriach,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Zederhaus,16,21,21,20,20,20,17,17,17,17,24,24,24,24,26
Lungau - Nicht zugeordnet,5,4,4,4,4,5,5,4,4,3,3,3,3,3,3
Pinzgau,369,395,395,402,412,437,438,493,493,475,548,512,512,466,518
Bramberg am Wildkogel,10,11,11,12,12,14,14,18,18,18,20,20,20,21,32
Bruck an der Glocknerstraße,13,14,14,14,14,14,15,18,18,15,20,20,20,16,20
Dienten am Hochkönig,5,6,6,9,9,8,8,11,11,11,13,12,12,11,11
Fusch an der Glocknerstraße,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollersbach,2,2,2,2,2,4,4,7,7,7,9,9,9,9,9
Kaprun,12,13,13,15,15,19,19,19,19,19,19,14,14,8,10
Krimml,8,10,10,12,12,14,14,18,18,18,21,21,21,20,22
Lend,4,5,5,5,5,4,4,4,4,4,7,6,6,4,4
Leogang,12,12,12,13,13,15,15,18,18,17,22,22,22,21,22
Lofer,13,14,14,13,14,12,12,12,12,11,11,11,11,7,7
Maishofen,6,8,8,8,8,9,9,9,9,9,10,9,9,8,9
Maria Alm am Steinernen Meer,1,1,1,1,1,2,2,3,3,3,5,4,4,4,4
Mittersill,32,34,34,32,34,37,37,41,41,38,42,40,40,31,35
Neukirchen am Großvenediger,7,7,7,7,7,10,10,12,12,12,12,12,12,13,17
Niedernsill,6,9,9,10,10,10,10,10,10,10,10,10,10,9,9
Piesendorf,6,6,6,6,6,7,7,9,9,9,10,9,9,9,11
Rauris,13,16,16,17,17,12,12,13,13,13,15,13,13,13,14
Saalbach-Hinterglemm,8,8,8,8,9,10,10,10,10,9,11,10,10,10,10
Saalfelden am Steinernen Meer,87,88,88,87,90,102,102,116,116,114,139,136,136,131,143
Sankt Martin bei Lofer,5,6,6,6,6,6,6,7,7,7,9,9,9,9,9
Stuhlfelden,6,6,6,6,6,5,5,6,6,5,6,6,6,5,5
Taxenbach,32,34,34,36,36,37,37,37,37,37,37,26,26,24,26
Unken,23,23,23,24,24,19,19,19,19,15,15,13,13,6,7
Uttendorf,11,12,12,11,12,11,11,14,14,13,15,15,15,15,15
Viehhofen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wald im Pinzgau,2,2,2,1,1,1,1,3,3,3,3,3,3,4,7
Weißbach bei Lofer,2,2,2,2,2,3,3,3,3,3,3,3,3,3,5
Zell am See,39,42,42,41,43,44,44,48,48,47,55,50,50,47,47
Pinzgau - Nicht zugeordnet,3,3,3,3,3,7,7,7,7,7,8,8,8,7,7