Gemeinde,2020-01-11T09:53:55.000Z,2020-02-11T05:51:10.000Z,2020-02-11T14:58:48.000Z,2020-03-11T05:54:06.000Z,2020-03-11T14:50:35.000Z,2020-04-11T04:53:25.000Z,2020-04-11T14:09:45.000Z,2020-05-11T07:09:49.000Z,2020-05-11T15:55:55.000Z
Flachgau / Flachgau,976,1083,1081,1102,1114,1230,1206,1320,1311
Flachgau / Anif,27,32,32,30,34,36,36,39,39
Flachgau / Anthering,19,23,23,24,24,29,29,32,32
Flachgau / Bergheim,30,33,33,37,37,44,44,48,48
Flachgau / Berndorf bei Salzburg,2,4,4,5,5,5,5,5,5
Flachgau / Bürmoos,15,16,16,16,16,17,17,24,24
Flachgau / Dorfbeuern,0,0,0,-1,0,2,2,3,3
Flachgau / Ebenau,8,10,10,9,9,10,10,10,10
Flachgau / Elixhausen,16,16,16,17,17,18,18,22,22
Flachgau / Elsbethen,30,33,33,36,36,36,36,41,41
Flachgau / Eugendorf,49,54,54,56,56,59,54,58,58
Flachgau / Faistenau,27,31,30,30,30,35,32,37,35
Flachgau / Fuschl am See,26,28,28,28,28,31,31,30,30
Flachgau / Göming,2,2,3,3,3,2,2,2,2
Flachgau / Grödig,23,31,31,33,33,42,42,45,45
Flachgau / Großgmain,10,11,11,12,12,12,12,12,12
Flachgau / Hallwang,14,15,15,17,17,18,19,22,21
Flachgau / Henndorf am Wallersee,36,42,42,41,41,42,42,48,47
Flachgau / Hintersee,9,10,10,9,9,9,9,9,9
Flachgau / Hof bei Salzburg,37,36,37,40,40,41,40,41,41
Flachgau / Köstendorf,42,44,44,46,46,50,49,52,52
Flachgau / Koppl,54,57,57,57,58,63,61,60,60
Flachgau / Lamprechtshausen,10,16,16,18,18,21,20,22,22
Flachgau / Mattsee,14,14,13,13,13,14,13,15,15
Flachgau / Neumarkt am Wallersee,27,31,31,30,30,37,37,41,38
Flachgau / Nußdorf am Haunsberg,4,4,4,5,5,7,7,8,8
Flachgau / Oberndorf bei Salzburg,25,36,36,34,34,36,36,43,43
Flachgau / Obertrum am See,28,34,33,35,36,38,36,34,33
Flachgau / Plainfeld,9,10,10,11,11,12,12,11,11
Flachgau / Sankt Georgen bei Salzburg,22,24,24,25,25,31,31,35,35
Flachgau / Sankt Gilgen,40,40,40,38,38,42,41,42,42
Flachgau / Schleedorf,4,4,4,4,4,8,8,12,12
Flachgau / Seeham,4,7,7,9,9,10,10,12,12
Flachgau / Straßwalchen,63,65,64,62,62,71,69,78,79
Flachgau / Strobl,48,52,52,51,51,53,53,59,58
Flachgau / Thalgau,49,49,49,44,49,54,53,56,56
Flachgau / Wals-Siezenheim,79,90,89,93,93,103,101,115,115
Flachgau / Seekirchen am Wallersee,46,50,50,53,53,59,57,65,65
Flachgau / Flachgau - Nicht zugeordnet,28,29,30,32,32,33,32,32,31
Pongau / Pongau,599,643,644,632,643,657,619,725,717
Pongau / Altenmarkt im Pongau,18,19,19,13,19,23,23,33,33
Pongau / Bad Hofgastein,47,42,42,43,43,43,40,45,45
Pongau / Bad Gastein,29,29,29,26,26,28,26,28,27
Pongau / Bischofshofen,103,108,110,110,111,110,109,129,127
Pongau / Dorfgastein,9,9,9,9,9,7,7,10,10
Pongau / Eben im Pongau,6,6,6,5,6,9,9,10,10
Pongau / Filzmoos,6,6,6,6,7,12,12,13,13
Pongau / Flachau,14,11,11,11,12,12,12,14,14
Pongau / Forstau,3,3,3,0,0,1,1,1,1
Pongau / Goldegg,16,18,18,17,18,14,14,18,18
Pongau / Großarl,42,51,51,43,43,40,32,35,35
Pongau / Hüttau,7,7,7,6,6,5,5,5,5
Pongau / Hüttschlag,4,4,4,2,1,2,1,2,2
Pongau / Kleinarl,5,12,12,10,11,11,11,11,11
Pongau / Mühlbach am Hochkönig,6,7,7,8,8,8,8,10,10
Pongau / Pfarrwerfen,20,21,21,21,21,21,20,21,20
Pongau / Radstadt,19,18,18,22,22,20,18,23,22
Pongau / Sankt Johann im Pongau,119,123,123,130,127,132,119,138,137
Pongau / Sankt Martin im Tennengebirge,10,10,10,8,8,10,8,8,8
Pongau / Sankt Veit im Pongau,21,21,22,22,25,21,21,22,21
Pongau / Schwarzach im Pongau,23,30,30,35,34,42,40,54,54
Pongau / Untertauern,1,1,1,0,1,1,1,1,1
Pongau / Wagrain,26,33,33,31,31,30,30,34,34
Pongau / Werfen,25,30,30,29,29,29,27,30,30
Pongau / Werfenweng,0,1,1,2,2,3,3,3,3
Pongau / Pongau - Nicht zugeordnet,20,23,21,23,23,23,22,27,26
Tennengau / Tennengau,398,429,413,409,412,423,399,490,489
Tennengau / Abtenau,50,61,61,64,64,67,59,77,77
Tennengau / Adnet,28,29,27,23,24,21,21,26,26
Tennengau / Annaberg-Lungötz,4,2,2,2,2,2,2,3,3
Tennengau / Golling an der Salzach,18,15,14,13,13,16,13,22,22
Tennengau / Hallein,120,123,115,117,118,122,114,150,150
Tennengau / Krispl,12,14,14,12,12,12,12,15,15
Tennengau / Kuchl,77,90,87,84,84,86,84,89,88
Tennengau / Oberalm,24,23,23,20,20,19,18,20,20
Tennengau / Puch bei Hallein,27,31,28,29,29,31,30,33,33
Tennengau / Rußbach am Pass Gschütt,2,2,2,2,2,2,2,3,3
Tennengau / Sankt Koloman,10,12,12,13,13,14,13,18,18
Tennengau / Scheffau am Tennengebirge,5,6,5,6,6,7,7,8,8
Tennengau / Bad Vigaun,14,14,14,15,15,14,14,16,16
Tennengau / Tennengau - Nicht zugeordnet,7,7,9,9,10,10,10,10,10
Salzburg Stadt / Salzburg Stadt,573,635,634,618,620,696,696,723,724
Salzburg Stadt / Stadt Salzburg - Nicht zugeordnet,35,42,42,36,36,41,41,48,48
Lungau / Lungau,84,97,97,99,99,105,97,101,99
Lungau / Göriach,0,0,0,1,1,2,2,2,2
Lungau / Lessach,0,0,0,0,0,0,0,0,0
Lungau / Mariapfarr,5,7,7,6,6,6,6,8,8
Lungau / Mauterndorf,3,3,3,3,3,4,4,8,8
Lungau / Muhr,0,0,0,0,0,0,0,0,0
Lungau / Ramingstein,5,4,4,5,5,6,6,5,5
Lungau / Sankt Andrä im Lungau,5,5,5,4,4,2,1,1,1
Lungau / Sankt Margarethen im Lungau,2,2,2,2,2,3,1,1,1
Lungau / Sankt Michael im Lungau,17,15,15,13,14,16,15,14,14
Lungau / Tamsweg,25,32,32,32,31,32,31,30,29
Lungau / Thomatal,0,0,0,1,1,1,1,1,1
Lungau / Tweng,0,0,0,0,0,0,0,1,1
Lungau / Unternberg,1,2,2,6,6,6,6,7,7
Lungau / Weißpriach,0,2,2,2,2,2,2,2,2
Lungau / Zederhaus,16,21,21,20,20,20,17,17,17
Lungau / Lungau - Nicht zugeordnet,5,4,4,4,4,5,5,4,3
Pinzgau / Pinzgau,369,395,395,402,412,437,438,493,475
Pinzgau / Bramberg am Wildkogel,10,11,11,12,12,14,14,18,18
Pinzgau / Bruck an der Glocknerstraße,13,14,14,14,14,14,15,18,15
Pinzgau / Dienten am Hochkönig,5,6,6,9,9,8,8,11,11
Pinzgau / Fusch an der Glocknerstraße,0,0,0,0,0,0,0,0,0
Pinzgau / Hollersbach,2,2,2,2,2,4,4,7,7
Pinzgau / Kaprun,12,13,13,15,15,19,19,19,19
Pinzgau / Krimml,8,10,10,12,12,14,14,18,18
Pinzgau / Lend,4,5,5,5,5,4,4,4,4
Pinzgau / Leogang,12,12,12,13,13,15,15,18,17
Pinzgau / Lofer,13,14,14,13,14,12,12,12,11
Pinzgau / Maishofen,6,8,8,8,8,9,9,9,9
Pinzgau / Maria Alm am Steinernen Meer,1,1,1,1,1,2,2,3,3
Pinzgau / Mittersill,32,34,34,32,34,37,37,41,38
Pinzgau / Neukirchen am Großvenediger,7,7,7,7,7,10,10,12,12
Pinzgau / Niedernsill,6,9,9,10,10,10,10,10,10
Pinzgau / Piesendorf,6,6,6,6,6,7,7,9,9
Pinzgau / Rauris,13,16,16,17,17,12,12,13,13
Pinzgau / Saalbach-Hinterglemm,8,8,8,8,9,10,10,10,9
Pinzgau / Saalfelden am Steinernen Meer,87,88,88,87,90,102,102,116,114
Pinzgau / Sankt Martin bei Lofer,5,6,6,6,6,6,6,7,7
Pinzgau / Stuhlfelden,6,6,6,6,6,5,5,6,5
Pinzgau / Taxenbach,32,34,34,36,36,37,37,37,37
Pinzgau / Unken,23,23,23,24,24,19,19,19,15
Pinzgau / Uttendorf,11,12,12,11,12,11,11,14,13
Pinzgau / Viehhofen,1,1,1,1,1,1,1,1,1
Pinzgau / Wald im Pinzgau,2,2,2,1,1,1,1,3,3
Pinzgau / Weißbach bei Lofer,2,2,2,2,2,3,3,3,3
Pinzgau / Zell am See,39,42,42,41,43,44,44,48,47
Pinzgau / Pinzgau - Nicht zugeordnet,3,3,3,3,3,7,7,7,7