Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z	2020-04-11T16:09:45.000Z
Flachgau / Flachgau	799	815	821	863	852	871	894	895
Flachgau / Anif	18	19	19	23	20	20	20	20
Flachgau / Anthering	10	10	10	11	11	11	11	11
Flachgau / Bergheim	52	52	52	53	53	53	53	53
Flachgau / Berndorf bei Salzburg	7	7	7	7	7	7	7	7
Flachgau / Bürmoos	15	16	16	16	16	18	18	18
Flachgau / Dorfbeuern	6	6	6	7	6	6	6	6
Flachgau / Ebenau	5	5	5	6	6	6	6	6
Flachgau / Elixhausen	8	9	9	10	10	10	10	10
Flachgau / Elsbethen	20	20	20	21	21	22	22	22
Flachgau / Eugendorf	31	33	33	34	34	35	40	40
Flachgau / Faistenau	13	13	14	14	14	14	16	16
Flachgau / Fuschl am See	16	17	17	17	17	18	18	18
Flachgau / Göming	14	14	14	14	14	15	15	15
Flachgau / Grödig	31	32	32	32	32	32	32	32
Flachgau / Großgmain	6	6	6	6	6	6	6	6
Flachgau / Hallwang	14	15	15	16	16	16	16	16
Flachgau / Henndorf am Wallersee	48	48	48	50	50	50	50	50
Flachgau / Hintersee	3	3	3	3	3	3	3	3
Flachgau / Hof bei Salzburg	17	18	18	18	18	19	20	20
Flachgau / Köstendorf	5	5	5	5	5	6	7	7
Flachgau / Koppl	33	34	34	35	34	35	37	37
Flachgau / Lamprechtshausen	15	15	15	15	15	15	16	16
Flachgau / Mattsee	3	3	4	5	5	6	7	7
Flachgau / Neumarkt am Wallersee	13	13	13	15	15	15	15	15
Flachgau / Nußdorf am Haunsberg	18	18	18	18	18	18	18	18
Flachgau / Oberndorf bei Salzburg	11	11	11	13	13	14	14	14
Flachgau / Obertrum am See	15	15	16	17	16	16	18	18
Flachgau / Plainfeld	15	15	15	15	15	15	15	15
Flachgau / Sankt Georgen bei Salzburg	28	28	28	28	28	28	28	28
Flachgau / Sankt Gilgen	28	30	30	33	33	33	34	34
Flachgau / Schleedorf	5	5	5	5	5	5	5	5
Flachgau / Seeham	16	16	16	16	16	17	17	17
Flachgau / Straßwalchen	46	46	47	49	49	49	50	51
Flachgau / Strobl	32	32	32	33	33	36	36	36
Flachgau / Thalgau	57	59	60	67	62	63	64	64
Flachgau / Wals-Siezenheim	67	68	69	74	74	75	77	77
Flachgau / Seekirchen am Wallersee	33	34	34	35	35	37	39	39
Flachgau / Flachgau - Nicht zugeordnet	25	25	25	27	27	27	28	28
Pongau / Pongau	975	1008	1008	1096	1085	1138	1140	1176
Pongau / Altenmarkt im Pongau	82	84	84	94	88	89	89	89
Pongau / Bad Hofgastein	58	65	65	70	70	73	72	76
Pongau / Bad Gastein	27	29	29	32	32	32	32	34
Pongau / Bischofshofen	106	111	111	124	123	136	136	137
Pongau / Dorfgastein	12	12	12	12	12	14	14	14
Pongau / Eben im Pongau	24	24	24	27	26	26	26	26
Pongau / Filzmoos	23	23	23	24	23	23	23	23
Pongau / Flachau	81	84	84	86	85	85	85	85
Pongau / Forstau	12	12	12	15	15	15	15	15
Pongau / Goldegg	29	29	29	31	30	34	34	34
Pongau / Großarl	93	93	93	101	101	104	104	111
Pongau / Hüttau	10	10	10	11	11	12	12	12
Pongau / Hüttschlag	9	9	9	11	12	12	12	13
Pongau / Kleinarl	14	14	14	16	15	15	15	15
Pongau / Mühlbach am Hochkönig	12	12	12	12	12	12	12	12
Pongau / Pfarrwerfen	12	14	14	15	15	17	17	18
Pongau / Radstadt	52	55	55	56	56	58	58	60
Pongau / Sankt Johann im Pongau	104	107	107	123	126	136	136	148
Pongau / Sankt Martin im Tennengebirge	58	61	61	63	63	64	65	66
Pongau / Sankt Veit im Pongau	29	29	29	35	32	36	36	36
Pongau / Schwarzach im Pongau	28	29	29	30	31	32	32	34
Pongau / Untertauern	9	9	9	10	9	9	9	9
Pongau / Wagrain	35	36	36	38	38	39	39	39
Pongau / Werfen	21	21	21	24	24	27	27	29
Pongau / Werfenweng	5	5	5	5	5	5	5	5
Pongau / Pongau - Nicht zugeordnet	30	31	31	31	31	33	35	36
Tennengau / Tennengau	763	787	795	828	827	858	859	882
Tennengau / Abtenau	62	66	66	67	67	70	71	78
Tennengau / Adnet	60	61	62	67	66	69	69	69
Tennengau / Annaberg-Lungötz	6	8	8	8	8	8	8	8
Tennengau / Golling an der Salzach	64	67	68	69	69	70	70	73
Tennengau / Hallein	165	175	178	185	185	192	192	200
Tennengau / Krispl	16	16	16	18	18	18	18	18
Tennengau / Kuchl	237	239	241	249	249	257	257	259
Tennengau / Oberalm	28	29	29	32	32	34	34	35
Tennengau / Puch bei Hallein	41	41	42	45	45	48	48	49
Tennengau / Rußbach am Pass Gschütt	1	1	1	1	1	1	1	1
Tennengau / Sankt Koloman	29	29	29	30	30	31	31	32
Tennengau / Scheffau am Tennengebirge	15	15	15	15	15	16	16	16
Tennengau / Bad Vigaun	27	28	28	30	30	32	32	32
Tennengau / Tennengau - Nicht zugeordnet	12	12	12	12	12	12	12	12
Salzburg Stadt / Salzburg Stadt	825	855	855	905	902	938	938	938
Salzburg Stadt / Stadt Salzburg - Nicht zugeordnet	37	38	38	46	46	48	48	48
Lungau / Lungau	93	100	100	112	112	121	124	129
Lungau / Göriach	0	0	0	0	0	0	0	0
Lungau / Lessach	1	1	1	1	1	1	1	1
Lungau / Mariapfarr	22	22	22	22	22	22	22	22
Lungau / Mauterndorf	5	5	5	5	5	5	5	5
Lungau / Muhr	0	0	0	0	0	0	0	0
Lungau / Ramingstein	2	2	2	2	2	2	2	2
Lungau / Sankt Andrä im Lungau	0	0	0	1	1	3	3	4
Lungau / Sankt Margarethen im Lungau	2	2	2	2	2	2	2	4
Lungau / Sankt Michael im Lungau	15	16	16	21	20	21	22	22
Lungau / Tamsweg	20	23	23	28	29	30	31	31
Lungau / Thomatal	1	1	1	1	1	1	1	1
Lungau / Tweng	5	5	5	5	5	5	5	5
Lungau / Unternberg	2	2	2	2	2	2	2	2
Lungau / Weißpriach	1	1	1	1	1	1	1	1
Lungau / Zederhaus	9	10	10	11	11	16	17	19
Lungau / Lungau - Nicht zugeordnet	8	10	10	10	10	10	10	10
Pinzgau / Pinzgau	559	559	559	574	565	596	596	596
Pinzgau / Bramberg am Wildkogel	5	5	5	5	5	5	5	5
Pinzgau / Bruck an der Glocknerstraße	38	38	38	39	39	40	40	40
Pinzgau / Dienten am Hochkönig	0	0	0	0	0	1	1	1
Pinzgau / Fusch an der Glocknerstraße	6	6	6	6	6	6	6	6
Pinzgau / Hollersbach	1	1	1	1	1	1	1	1
Pinzgau / Kaprun	21	21	21	21	21	22	22	22
Pinzgau / Krimml	3	3	3	3	3	4	4	4
Pinzgau / Lend	5	5	5	5	5	6	6	6
Pinzgau / Leogang	9	9	9	9	9	9	9	9
Pinzgau / Lofer	17	17	17	18	17	19	19	19
Pinzgau / Maishofen	29	29	29	29	29	29	29	29
Pinzgau / Maria Alm am Steinernen Meer	4	4	4	4	4	4	4	4
Pinzgau / Mittersill	23	23	23	26	24	25	25	25
Pinzgau / Neukirchen am Großvenediger	4	4	4	4	4	4	4	4
Pinzgau / Niedernsill	7	7	7	7	7	7	7	7
Pinzgau / Piesendorf	36	36	36	36	36	36	36	36
Pinzgau / Rauris	10	10	10	10	10	15	15	15
Pinzgau / Saalbach-Hinterglemm	45	45	45	46	45	45	45	45
Pinzgau / Saalfelden am Steinernen Meer	62	62	62	67	65	72	72	72
Pinzgau / Sankt Martin bei Lofer	18	18	18	18	18	18	18	18
Pinzgau / Stuhlfelden	4	4	4	4	4	5	5	5
Pinzgau / Taxenbach	11	11	11	11	11	12	12	12
Pinzgau / Unken	32	32	32	32	32	36	36	36
Pinzgau / Uttendorf	9	9	9	10	9	10	10	10
Pinzgau / Viehhofen	9	9	9	9	9	9	9	9
Pinzgau / Wald im Pinzgau	11	11	11	12	12	12	12	12
Pinzgau / Weißbach bei Lofer	13	13	13	13	13	14	14	14
Pinzgau / Zell am See	122	122	122	124	122	125	125	125
Pinzgau / Pinzgau - Nicht zugeordnet	5	5	5	5	5	5	5	5